name,division,title,email,cell,en_fullname,en_division,en_title
김영복,경영,사장,hbjin @naver.com,011-763-6126,Ho Bum  Jin ,Finance,Manager
고상수,마케팅,전무이사,ssko @naver.com,011-555-0562,Sang Soo  Ko ,Marketing,Senior-Managing-Director
백경자,전략기회부,부사장,kjpak @naver.com,010-553-1425,Kyung Ja  Pak ,Strategy_Planing,Vice-President
고태선,물류부,주임,tsko @gmail.com,011-581-8726,Tae Sun  Ko ,Logistics,Supervisor
변지윤,영업부,비서,gybyun @gmail.com,016-842-8411,Gee Yoon  Byun ,Sales,Secretary
방혜자,개발부,사원,hjbang @naver.com,010-541-5775,Hae Ja  Bang ,Development,Staff
안창준,마케팅,대표이사,cjan @empas.com,010-255-7762,Chang Joon  An ,Marketing,CEO
공찬수,개발부,과장,cskong @gmail.com,011-484-0280,Chan Soo  Kong ,Development,Manager
남수영,디자인,사원,synam @naver.com,011-075-4324,Soo Young  Nam ,Design,Staff
송말순,비서실,사원,mssong @naver.com,010-550-8118,Mal Soon  Song ,Secretary,Staff
안민수,개발부,팀장,msan @gmail.com,011-882-5162,Min Soo  An ,Development,Team-Leader
제갈재명,경리부,사원,jmjae gal @empas.com,016-378-5407,Jae Myung  Jae Gal ,Finance,Staff
강기수,전략기회부,주임,kskang @naver.com,011-112-3251,Ki Soo  Kang ,Strategy_Planing,Supervisor
백영숙,개발부,과장,yspak @gmail.com,011-224-6837,Young Sook  Pak ,Development,Manager
최민지,물류부,대리,mgchoi @naver.com,016-134-0676,Min Gee  Choi ,Logistics,Deputy-Manager
나현석,전략기회부,사원,hsna @empas.com,011-231-3212,Hyun Suk  Na ,Strategy_Planing,Staff
최현철,홍보부,과장,hcchoi @naver.com,011-786-2223,Hyun Chul  Choi ,PR,Manager
구재석,디자인,부사장,jskoo @naver.com,011-674-7220,Jae Suk  Koo ,Design,Vice-President
조갑수,기획부,과장,kscho @naver.com,010-755-3226,Kap Soo  Cho ,Planning,Manager
